,Gross domestic product 2011,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 14,991,300 ",,,,,
CHN,2,,China," 7,318,499 ",,,,,
JPN,3,,Japan," 5,867,154 ",,,,,
DEU,4,,Germany," 3,600,833 ",,,,,
FRA,5,,France," 2,773,032 ",,,,,
BRA,6,,Brazil," 2,476,652 ",,,,,
GBR,7,,United Kingdom," 2,445,408 ",,,,,
ITA,8,,Italy," 2,193,971 ",,,,,
IND,9,,India," 1,872,840 ",,,,,
RUS,10,,Russian Federation," 1,857,770 ",,,,,
CAN,11,,Canada," 1,736,051 ",,,,,
ESP,12,,Spain," 1,476,882 ",,,,,
AUS,13,,Australia," 1,379,382 ",,,,,
MEX,14,,Mexico," 1,153,343 ",,,,,
KOR,15,,"Korea, Rep."," 1,116,247 ",,,,,
IDN,16,,Indonesia," 846,832 ",,,,,
NLD,17,,Netherlands," 836,074 ",,,,,
TUR,18,,Turkey," 774,983 ",,,,,
CHE,19,,Switzerland," 659,308 ",,,,,
SAU,20,,Saudi Arabia," 576,824 ",,,,,
SWE,21,,Sweden," 539,682 ",,,,,
POL,22,,Poland," 514,496 ",,,,,
BEL,23,,Belgium," 513,661 ",,,,,
NOR,24,,Norway," 485,803 ",,,,,
ARG,25,,Argentina," 446,044 ",,,,,
AUT,26,,Austria," 417,656 ",,,,,
ZAF,27,,South Africa," 408,237 ",,,,,
ARE,28,,United Arab Emirates," 360,245 ",,,,,
THA,29,,Thailand," 345,672 ",,,,,
DNK,30,,Denmark," 333,616 ",,,,,
COL,31,,Colombia," 333,372 ",,,,,
IRN,32,,"Iran, Islamic Rep."," 331,015 ",,,,,
VEN,33,,"Venezuela, RB"," 316,482 ",,,,,
GRC,34,,Greece," 289,627 ",,,,,
MYS,35,,Malaysia," 287,937 ",,,,,
FIN,36,,Finland," 263,011 ",,,,,
HKG,37,,"Hong Kong SAR, China"," 248,612 ",,,,,
CHL,38,,Chile," 248,585 ",,,,,
NGA,39,,Nigeria," 243,986 ",,,,,
ISR,40,,Israel," 242,929 ",,,,,
SGP,41,,Singapore," 239,700 ",,,,,
PRT,42,,Portugal," 237,374 ",,,,,
EGY,43,,"Egypt, Arab Rep."," 229,531 ",,,,,
PHL,44,,Philippines," 224,771 ",,,,,
IRL,45,,Ireland," 217,275 ",,,,,
CZE,46,,Czech Republic," 217,027 ",,,,,
PAK,47,,Pakistan," 210,216 ",,,,,
ROM,48,,Romania," 189,776 ",,,,,
DZA,49,,Algeria," 188,681 ",,,,,
KAZ,50,,Kazakhstan," 188,050 ",,,,,
PER,51,,Peru," 176,925 ",,,,,
KWT,52,,Kuwait," 176,590 ",,,,,
QAT,53,,Qatar," 172,982 ",,,,,
UKR,54,,Ukraine," 165,245 ",,,,,
NZL,55,,New Zealand," 159,706 ",,,,,
HUN,56,,Hungary," 140,029 ",,,,,
VNM,57,,Vietnam," 123,600 ",,,,,
IRQ,58,,Iraq," 115,388 ",,,,,
BGD,59,,Bangladesh," 111,879 ",,,,,
AGO,60,,Angola," 104,332 ",,,,,
MAR,61,,Morocco," 100,221 ",a,,,,
PRI,62,,Puerto Rico," 96,261 ",,,,,
SVK,63,,Slovak Republic," 95,994 ",,,,,
OMN,64,,Oman," 71,782 ",,,,,
ECU,65,,Ecuador," 65,945 ",,,,,
SDN,66,,Sudan," 64,053 ",b,,,,
AZE,67,,Azerbaijan," 63,404 ",,,,,
HRV,68,,Croatia," 62,493 ",,,,,
LBY,69,,Libya," 62,360 ",,,,,
LUX,70,,Luxembourg," 59,201 ",,,,,
LKA,71,,Sri Lanka," 59,172 ",,,,,
SYR,72,,Syrian Arab Republic," 59,147 ",,,,,
DOM,73,,Dominican Republic," 55,611 ",,,,,
BLR,74,,Belarus," 55,132 ",,,,,
BGR,75,,Bulgaria," 53,514 ",,,,,
SVN,76,,Slovenia," 49,539 ",,,,,
GTM,77,,Guatemala," 46,900 ",,,,,
URY,78,,Uruguay," 46,710 ",,,,,
TUN,79,,Tunisia," 46,435 ",,,,,
SRB,80,,Serbia," 45,820 ",,,,,
UZB,81,,Uzbekistan," 45,359 ",,,,,
LTU,82,,Lithuania," 42,725 ",,,,,
CRI,83,,Costa Rica," 40,870 ",,,,,
LBN,84,,Lebanon," 40,094 ",,,,,
GHA,85,,Ghana," 39,200 ",,,,,
MAC,86,,"Macao SAR, China"," 36,428 ",,,,,
YEM,87,,"Yemen, Rep."," 33,758 ",,,,,
KEN,88,,Kenya," 33,621 ",,,,,
ETH,89,,Ethiopia," 30,247 ",,,,,
JOR,90,,Jordan," 28,840 ",,,,,
LVA,91,,Latvia," 28,252 ",,,,,
TKM,92,,Turkmenistan," 28,062 ",,,,,
PAN,93,,Panama," 26,778 ",,,,,
CMR,94,,Cameroon," 25,236 ",,,,,
CYP,95,,Cyprus," 24,690 ",c,,,,
CIV,96,,Côte d'Ivoire," 24,074 ",,,,,
BOL,97,,Bolivia," 23,949 ",,,,,
TZA,98,,Tanzania," 23,874 ",d,,,,
PRY,99,,Paraguay," 23,837 ",,,,,
SLV,100,,El Salvador," 23,054 ",,,,,
BHR,101,,Bahrain," 22,945 ",,,,,
TTO,102,,Trinidad and Tobago," 22,483 ",,,,,
EST,103,,Estonia," 22,155 ",,,,,
GNQ,104,,Equatorial Guinea," 19,790 ",,,,,
ZMB,105,,Zambia," 19,206 ",,,,,
AFG,106,,Afghanistan," 19,177 ",,,,,
SSD,107,,South Sudan," 19,172 ",,,,,
NPL,108,,Nepal," 18,884 ",,,,,
BIH,109,,Bosnia and Herzegovina," 18,088 ",,,,,
HND,110,,Honduras," 17,427 ",,,,,
BWA,111,,Botswana," 17,328 ",,,,,
GAB,112,,Gabon," 17,052 ",,,,,
UGA,113,,Uganda," 16,810 ",,,,,
BRN,114,,Brunei Darussalam," 16,360 ",,,,,
ZAR,115,,"Congo, Dem. Rep."," 15,654 ",,,,,
JAM,116,,Jamaica," 14,439 ",,,,,
COG,117,,"Congo, Rep."," 14,426 ",,,,,
GEO,118,,Georgia," 14,367 ",e,,,,
SEN,119,,Senegal," 14,291 ",,,,,
ISL,120,,Iceland," 14,026 ",,,,,
ALB,121,,Albania," 12,960 ",,,,,
PNG,122,,Papua New Guinea," 12,937 ",,,,,
KHM,123,,Cambodia," 12,830 ",,,,,
MOZ,124,,Mozambique," 12,762 ",,,,,
NAM,125,,Namibia," 12,511 ",,,,,
MUS,126,,Mauritius," 11,260 ",,,,,
MLI,127,,Mali," 10,827 ",,,,,
TCD,128,,Chad," 10,581 ",,,,,
MKD,129,,"Macedonia, FYR"," 10,439 ",,,,,
BFA,130,,Burkina Faso," 10,396 ",,,,,
ARM,131,,Armenia," 10,248 ",,,,,
MDG,132,,Madagascar," 9,912 ",,,,,
ZWE,133,,Zimbabwe," 9,656 ",,,,,
NIC,134,,Nicaragua," 9,317 ",,,,,
MLT,135,,Malta," 8,887 ",,,,,
MNG,136,,Mongolia," 8,761 ",,,,,
LAO,137,,Lao PDR," 8,298 ",,,,,
BHS,138,,"Bahamas, The"," 7,788 ",,,,,
HTI,139,,Haiti," 7,346 ",,,,,
BEN,140,,Benin," 7,295 ",,,,,
MDA,141,,Moldova," 7,001 ",f,,,,
TJK,142,,Tajikistan," 6,522 ",,,,,
KSV,143,,Kosovo," 6,453 ",,,,,
RWA,144,,Rwanda," 6,375 ",,,,,
KGZ,145,,Kyrgyz Republic," 6,198 ",,,,,
MCO,146,,Monaco," 6,075 ",,,,,
NER,147,,Niger," 6,017 ",,,,,
BMU,148,,Bermuda," 5,765 ",,,,,
MWI,149,,Malawi," 5,621 ",,,,,
GIN,150,,Guinea," 5,089 ",,,,,
LIE,151,,Liechtenstein," 4,826 ",,,,,
MNE,152,,Montenegro," 4,496 ",,,,,
SUR,153,,Suriname," 4,304 ",,,,,
MRT,154,,Mauritania," 4,213 ",,,,,
SWZ,155,,Swaziland," 4,090 ",,,,,
FJI,156,,Fiji," 3,818 ",,,,,
BRB,157,,Barbados," 3,685 ",,,,,
TGO,158,,Togo," 3,620 ",,,,,
SLE,159,,Sierra Leone," 2,973 ",,,,,
ERI,160,,Eritrea," 2,609 ",,,,,
GUY,161,,Guyana," 2,577 ",,,,,
LSO,162,,Lesotho," 2,426 ",,,,,
BDI,163,,Burundi," 2,326 ",,,,,
FRO,164,,Faeroe Islands," 2,198 ",,,,,
CAF,165,,Central African Republic," 2,195 ",,,,,
MDV,166,,Maldives," 2,050 ",,,,,
CPV,167,,Cape Verde," 1,901 ",,,,,
BTN,168,,Bhutan," 1,732 ",,,,,
LBR,169,,Liberia," 1,545 ",,,,,
BLZ,170,,Belize," 1,448 ",,,,,
GRL,171,,Greenland," 1,268 ",,,,,
LCA,172,,St. Lucia," 1,259 ",,,,,
ATG,173,,Antigua and Barbuda," 1,118 ",,,,,
SYC,174,,Seychelles," 1,060 ",,,,,
TMP,175,,Timor-Leste," 1,054 ",,,,,
DJI,176,,Djibouti," 1,049 ",,,,,
GNB,177,,Guinea-Bissau, 968 ,,,,,
GMB,178,,"Gambia, The", 898 ,,,,,
SLB,179,,Solomon Islands, 838 ,,,,,
GRD,180,,Grenada, 816 ,,,,,
VUT,181,,Vanuatu, 760 ,,,,,
KNA,182,,St. Kitts and Nevis, 697 ,,,,,
VCT,183,,St. Vincent and the Grenadines, 688 ,,,,,
WSM,184,,Samoa, 641 ,,,,,
COM,185,,Comoros, 610 ,,,,,
DMA,186,,Dominica, 484 ,,,,,
TON,187,,Tonga, 434 ,,,,,
FSM,188,,"Micronesia, Fed. Sts.", 310 ,,,,,
STP,189,,São Tomé and Principe, 248 ,,,,,
MHL,190,,Marshall Islands, 174 ,,,,,
KIR,191,,Kiribati, 167 ,,,,,
PLW,192,,Palau, 166 ,,,,,
TUV,193,,Tuvalu, 36 ,,,,,
,,,,,,,,,
ASM,,,American Samoa, .. ,,,,,
ADO,,,Andorra, .. ,,,,,
ABW,,,Aruba, .. ,,,,,
CYM,,,Cayman Islands, .. ,,,,,
CHI,,,Channel Islands, .. ,,,,,
CUB,,,Cuba, .. ,,,,,
CUW,,,Curaçao, .. ,,,,,
PYF,,,French Polynesia, .. ,,,,,
GUM,,,Guam, .. ,,,,,
IMY,,,Isle of Man, .. ,,,,,
PRK,,,"Korea, Dem. Rep.", .. ,,,,,
MMR,,,Myanmar, .. ,,,,,
NCL,,,New Caledonia, .. ,,,,,
MNP,,,Northern Mariana Islands, .. ,,,,,
SMR,,,San Marino, .. ,,,,,
SXM,,,Sint Maarten (Dutch part), .. ,,,,,
SOM,,,Somalia, .. ,,,,,
MAF,,,St. Martin (French part), .. ,,,,,
TCA,,,Turks and Caicos Islands, .. ,,,,,
VIR,,,Virgin Islands (U.S.), .. ,,,,,
WBG,,,West Bank and Gaza, .. ,,,,,
,,,,,,,,,
WLD,,,World," 70,020,432 ",,,,,
,,,,,,,,,
LIC,,,Low income," 475,769 ",,,,,
MIC,,,Middle income," 23,040,828 ",,,,,
LMC,,,  Lower middle income," 4,792,840 ",,,,,
UMC,,,  Upper middle income," 18,245,538 ",,,,,
LMY,,,Low & middle income," 23,543,295 ",,,,,
EAP,,,  East Asia & Pacific," 9,313,033 ",,,,,
ECA,,,  Europe & Central Asia," 3,634,863 ",,,,,
LAC,,,  Latin America & Caribbean," 5,645,541 ",,,,,
MNA,,,  Middle East & North Africa," 1,201,884 ",,,,,
SAS,,,  South Asia," 2,295,951 ",,,,,
SSA,,,  Sub-Saharan Africa," 1,266,024 ",,,,,
HIC,,,High income," 46,606,101 ",,,,,
EMU,,,  Euro area," 13,079,862 ",,,,,
,,,,,,,,,
,.. Not available.  ,,,,,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2010 or 2009.,,,,,,,,
,a. Includes Former Spanish Sahara.  b. Exclude South Sudan after July 2011.  c. Data are for the area controlled by the government of the Republic,,,,,,,,
,of Cyprus.  d. Covers mainland Tanzania only.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
