"Interest.Rate","FICO.Score","Loan.Length","Monthly.Income","Loan.Amount"
"6",15.31,670,36,4891.67,6000
"11",19.72,670,36,3575,2000
"12",14.27,665,36,4250,10625
"13",21.67,670,60,14166.67,28000
"21",21.98,665,36,6666.67,22000
"23",17.99,665,60,4100,6500
"25",16.82,670,60,4500,4000
"40",12.49,660,36,3448.33,2400
"41",17.27,670,36,2500,3200
"43",19.13,660,36,12000,5500
"44",21.74,660,36,3700,15650
"48",23.91,670,60,11250,20000
"52",17.44,660,36,7952,3000
"54",21.49,665,60,4166.67,22250
"57",12.98,670,36,1100,2500
"64",15.8,665,36,3250,9000
"74",17.27,665,36,4583.33,12000
"75",15.31,670,36,3833.33,6000
"76",13.12,670,36,5000,6725
"79",17.77,665,36,2500,10000
"91",16.29,665,36,2000,7925
"93",15.81,670,36,2666.67,9525
"99",19.72,665,36,4166.67,10375
"100",18.75,670,36,5833.33,4800
"114",13.99,660,36,5000,5750
"132",16.32,665,36,4600,7500
"136",16.4,660,36,4166.67,7500
"142",23.28,660,60,7083.33,18000
"147",17.27,660,36,3833.33,3000
"151",21.49,670,36,12500,30000
"159",18.25,660,36,5000,15000
"160",17.77,665,36,3333.33,7000
"163",14.33,665,36,5000,15000
"170",15.23,665,36,4583.33,6000
"185",19.05,670,36,2916.67,4375
"189",18.49,660,36,2000,7000
"194",19.47,665,36,5000,7000
"200",14.09,670,36,2666.67,6000
"201",15.8,665,36,3750,5000
"215",17.77,665,36,2000,8325
"223",22.47,665,36,1333.33,4750
"225",18.67,660,60,1750,5500
"229",24.89,665,60,4000,18000
"231",15.31,670,36,2530,2500
"232",19.91,660,60,5500,7200
"233",14.33,670,36,3941.58,8000
"234",20.77,665,60,6000,25000
"235",14.09,665,36,2666.67,2500
"255",16.89,670,36,2880,7550
"257",14.09,670,36,5083.33,6000
"259",14.59,665,36,5000,3000
"260",16.29,665,36,3750,8000
"273",17.27,665,36,4025.67,6000
"274",15.27,670,36,4480,10000
"275",17.49,665,36,2917,3200
"277",11.54,670,36,3416.67,5000
"281",15.8,665,36,2166.67,1200
"285",16.29,670,36,5250,18000
"292",15.8,670,36,5000,6000
"295",14.12,655,36,3750,3500
"300",12.92,665,36,3333,5000
"301",18.67,660,60,2500,8000
"315",17.77,665,36,3083.33,12000
"317",20.49,660,36,6000,31075
"323",19.72,665,36,7965,20000
"324",15.96,665,36,4416.67,10000
"325",20.49,660,36,3033.33,9750
"329",14.22,670,36,8583,5000
"331",15.31,670,36,2916.67,8325
"340",22.47,660,60,4583.33,18000
"356",14.65,670,36,3250,2225
"366",19.05,660,36,5000,14000
"372",17.77,660,36,2708.33,10850
"376",22.95,665,36,884.9,1000
"391",15.31,665,36,2302,8875
"394",18.75,670,36,4500,21250
"396",14.33,670,36,3333.33,12000
"407",22.47,670,60,5083.33,22000
"413",15.8,665,36,6612,5000
"427",13.11,670,36,4166.67,6000
"443",19.05,660,36,3333.33,8000
"452",21,670,36,8333.33,25000
"458",15.31,665,36,2166.67,1000
"462",13.11,670,36,1833.33,1000
"466",19.05,660,36,4583.33,12000
"473",22.95,670,60,20833.33,21000
"478",23.28,660,60,4333.33,20500
"479",18.25,665,36,6250,10000
"485",14.09,665,36,3833.33,5600
"487",19.72,665,60,4750,25450
"496",15.31,670,36,7500,6000
"499",15.31,670,36,5000,5775
"501",17.27,670,36,2833.33,8000
"510",13.16,670,36,3500,1000
"525",14.84,670,36,2500,4800
"526",15.96,665,36,5583.33,6000
"528",15.31,670,36,6416.67,1800
"531",11.14,670,36,6833.33,15300
"533",17.77,665,36,4583.33,10500
"534",17.77,660,36,10268.25,6625
"535",22.47,665,60,4791.67,16000
"539",13.06,670,36,7083.33,1500
"544",17.77,670,36,2083.33,8000
"551",21,670,36,7702,35000
"555",19.05,660,36,7500,5500
"557",14.09,670,36,10625,5000
"562",22.47,665,60,5000,25000
"565",17.27,670,36,5833.33,8000
"570",18.49,670,36,3166.67,7625
"582",15.31,665,36,7083.33,5000
"584",16.77,660,36,3750,8000
"595",15.96,660,36,3264,6000
"601",15.23,670,36,2916.67,4000
"603",15.31,665,36,2500,10000
"631",12.42,670,36,2500,6000
"649",14.7,640,36,6500,6000
"662",16.77,660,36,2916.67,10000
"666",17.49,670,60,5445,12000
"671",13.35,665,36,5000,6000
"675",15.95,665,36,1500,2500
"683",14.11,670,36,4167,9000
"690",23.33,665,60,7083.33,30000
"691",14.09,660,36,8750,10000
"694",13.72,665,36,7758.33,8000
"697",13.43,670,36,11500,4500
"702",15.45,640,36,7083.33,8400
"704",19.22,665,36,4166.67,12000
"705",16.89,665,36,6166.67,12100
"709",18.75,665,36,2916.67,12250
"710",17.77,665,36,2500,10000
"713",18.55,660,36,7968.75,13100
"716",13.11,670,36,4166.67,18000
"719",12.12,665,36,3333.33,18000
"720",17.77,665,36,7500,12000
"727",13.49,670,36,3200,1600
"730",17.77,670,36,3416.67,12825
"740",17.27,665,36,2500,8575
"743",14.33,670,36,5666.67,10500
"745",15.8,670,36,3333.33,15000
"747",21.49,660,36,7750,20000
"753",23.76,665,60,6250,27825
"757",15.31,670,36,2766.67,2000
"763",14.65,665,36,5000,4800
"765",21.97,670,60,2833.33,16450
"767",17.27,665,36,5833.33,2500
"768",18.49,660,36,4166.67,8000
"776",15.33,660,36,7500,18500
"778",15.99,665,36,2416.67,5000
"782",16.89,660,36,3400,2000
"785",13.11,670,36,2583.33,3000
"789",22.78,665,60,12500,20000
"791",17.27,670,36,3750,2000
"793",18.55,670,36,4833.33,17975
"797",15.27,670,36,7083.33,12000
"798",21.48,665,60,2833.33,16750
"801",15.21,670,36,7083,10000
"811",14.33,670,36,7500,24000
"812",18.49,660,36,5000,7000
"814",19.03,670,60,3616,14000
"821",16.29,660,36,8750,5000
"822",12.98,665,36,3250,5000
"830",17.27,660,36,2752.92,6000
"842",20.5,670,36,7301.58,25000
"847",17.27,670,36,6000,8000
"857",16.35,665,36,7500,17600
"867",14.72,660,36,866.67,4750
"869",23.76,660,60,6928.13,30000
"879",14.27,665,36,7500,10000
"880",13.11,670,36,3500,5450
"882",17.27,670,36,2817.5,9750
"898",15.33,670,36,3083.33,10500
"899",18.49,670,36,3916.67,2500
"901",13.75,665,36,1000,3000
"906",11.14,670,36,6666.67,4000
"913",17.77,665,36,4750,7000
"914",15.31,670,36,4166.67,10000
"921",19.91,670,60,7916.67,20000
"927",19.74,660,60,5833.33,15000
"936",12.84,670,36,2860,1900
"958",18.25,660,36,1700,1200
"962",12.12,665,36,7500,10000
"966",15.31,670,36,4625,4400
"973",18.75,665,36,13333.33,12000
"988",17.27,670,36,1666.67,2000
"990",22.47,660,60,4000,16800
"991",17.27,660,36,2750,3000
"992",12.69,665,36,7083,3500
"998",20.77,670,60,4000,19750
"1019",20.49,660,36,4166.67,14400
"1036",14.96,670,36,1700,4000
"1037",17.99,660,36,5129,12000
"1044",15.31,665,36,3333.33,12000
"1046",14.72,670,36,6833,7000
"1056",24.33,670,60,11250,30000
"1063",19.05,665,36,5000,15000
"1070",23.28,660,60,4300,16250
"1072",15.31,660,36,9000,30000
"1077",19.05,670,60,13125,27575
"1088",14.65,670,36,3666.67,3800
"1090",17.27,670,36,2500,7200
"1107",23.63,660,60,11666.67,24000
"1112",19.91,670,60,4333.33,9000
"1114",17.77,665,36,2916.67,6625
"1116",14.27,670,36,2495.83,3825
"1124",22.78,660,36,8791.67,30000
"1127",15.31,670,36,6041.67,10000
"1135",16.77,670,36,8750,3600
"1137",20.49,660,60,3166.67,4200
"1138",14.61,665,36,6333.33,4200
"1139",21.74,660,60,5583.33,11200
"1151",18.49,660,36,5746,12000
"1164",14.82,655,36,6083.33,5600
"1170",17.77,670,36,4333.33,15000
"1178",20.49,660,36,4833.33,18650
"1180",16.77,670,36,12083.33,14000
"1182",17.56,670,60,5000,14400
"1196",22.47,670,60,5666.67,19200
"1200",15.31,665,36,3333.33,12000
"1209",17.77,665,36,1666.67,6000
"1223",14.17,670,36,5416.67,9600
"1230",17.77,670,36,3250,7200
"1236",17.49,670,60,2609,3200
"1248",15.96,660,36,6916.67,6000
"1250",14.82,645,36,4500,7200
"1264",17.27,665,36,2916.67,10000
"1268",15.31,665,36,9000,10000
"1272",14.27,670,36,5000,5000
"1273",19.69,665,60,3376,12000
"1277",18.25,660,36,8750,10500
"1282",21.98,660,36,4500,9500
"1303",14.59,660,36,6000,4500
"1304",22.45,665,60,1416.67,5800
"1305",14.7,645,36,5416.67,10000
"1308",15.62,670,36,7500,10000
"1313",23.76,665,60,7331.25,35000
"1321",18.49,670,36,4400,15350
"1336",19.05,660,36,5166.67,27575
"1345",15.8,670,36,5666.67,15350
"1350",13.67,670,36,4250,1800
"1353",16.29,660,36,5666.67,12000
"1355",13.67,665,36,4166.67,4950
"1358",16.29,665,36,7083.33,12000
"1359",22.47,660,60,5562.92,18000
"1372",15.8,670,36,2500,6000
"1376",16.29,660,36,4583.33,5000
"1385",15.13,645,36,11666.67,7675
"1394",13.24,660,36,4833,5000
"1402",17.58,660,36,5000,18225
"1406",13.87,670,36,4167,11000
"1408",12.12,670,36,7500,24000
"1413",16.71,660,36,5333.33,20000
"1422",16.29,670,36,2916.67,12000
"1426",13.49,670,36,3750,9425
"1429",18.39,660,36,5166.67,9600
"1437",12.61,665,36,6476,3200
"1439",24.7,660,60,10000,35000
"1441",16.29,660,36,2666.67,1600
"1443",17.99,670,36,8583.33,8000
"1448",14.61,665,36,3083.33,5000
"1453",14.33,670,36,2916.67,9450
"1454",20.25,665,60,4333.33,15175
"1459",17.77,665,36,2583.33,8500
"1460",14.27,670,36,3833,3000
"1470",15.62,660,36,6833.33,3500
"1471",18.79,660,60,4448,9250
"1475",21.48,665,60,6500,18000
"1482",11.49,670,36,4666.67,1000
"1488",18.49,660,36,6000,32350
"1491",11.14,665,36,11666.67,5600
"1492",23.76,660,60,7458.33,21000
"1495",13.99,670,36,5750,3600
"1505",17.27,665,36,5000,11000
"1506",15.31,670,36,3333.33,8500
"1527",15.31,670,36,2666.67,7000
"1528",17.27,665,36,4166.67,12000
"1541",16.29,670,36,4166.67,2000
"1544",16.29,665,36,5000,15000
"1552",17.99,660,36,7750,8000
"1553",17.27,665,36,1833.33,8000
"1554",15.31,660,36,11833.33,6000
"1558",21.14,660,60,9166.67,24000
"1579",20.99,670,60,9051.83,18000
"1581",12.69,670,36,1800,5500
"1583",16.29,660,36,2666.67,5400
"1592",19.99,660,36,2500,4800
"1598",15.27,660,36,2500,5300
"1602",23.76,665,60,5416.67,16000
"1610",12.86,670,36,2824,3200
"1615",17.99,665,36,7415.83,16000
"1617",15.8,665,60,7500,24000
"1627",14.96,670,36,3750,10000
"1630",18.55,665,36,3000,14100
"1633",13.87,640,36,3333.33,2200
"1638",15.81,665,36,18333.33,3500
"1642",17.99,670,36,3666.67,12000
"1649",18.49,665,36,5166.67,14400
"1651",19.99,660,36,5500,20000
"1653",13.11,660,36,4208.33,7750
"1654",19.91,660,60,3000,12000
"1657",16.29,665,36,4183.33,6000
"1669",17.15,670,36,18483,24000
"1670",14.33,670,36,2750,9600
"1674",16.29,665,36,5250,8000
"1683",21.98,665,60,3466.67,16000
"1687",13.75,640,36,588.5,3000
"1692",14.65,670,36,5130.42,2500
"1695",16.29,660,36,14166.67,35000
"1697",13.99,670,36,3206.67,9600
"1706",15.31,660,36,1916.67,5000
"1731",15.81,665,36,3000,1000
"1736",22.47,670,60,7000,20000
"1743",17.27,660,36,2083.33,4200
"1745",19.69,665,60,2666.67,13500
"1754",14.65,665,36,2500,9000
"1755",23.83,660,60,13666.67,23300
"1757",13.99,670,36,7583.33,2000
"1763",13.3,660,36,10000,10000
"1764",13.24,655,36,6290,3600
"1769",14.07,670,36,11250,22350
"1789",13.11,660,36,9166.67,10000
"1795",12.92,660,36,2500,5600
"1805",14.35,665,36,3600,2000
"1818",15.95,665,60,4500,8000
"1824",16.82,660,60,4008.33,4800
"1825",18.55,670,36,5416.67,10000
"1834",17.93,670,60,12500,15000
"1838",14.33,670,36,2500,10500
"1847",17.77,670,36,4333.33,12000
"1855",14.22,670,36,3010,7000
"1858",15.8,665,36,3833.33,1200
"1864",15.05,660,36,3466.67,3000
"1872",15.31,670,36,7750,12000
"1877",16.29,670,36,3119.92,9750
"1884",22.95,670,60,5000,23850
"1888",19.22,670,36,6800,23500
"1895",24.2,665,60,4583.33,24000
"1896",15.8,670,36,5416.67,5500
"1911",21,660,36,5125,19500
"1920",15.31,665,36,2518.67,9750
"1924",17.27,660,36,5416.67,12000
"1925",16.29,665,36,1733.33,5000
"1946",17.27,660,36,2666.67,6075
"1950",17.27,670,36,3000,15000
"1961",14.65,665,36,4000,4000
"1962",21.49,665,36,6000,20000
"1963",22.95,665,60,5833.33,31300
"1975",17.49,665,36,4416.67,6000
"1980",19.99,660,36,3348,7500
"1981",17.54,655,36,2916.67,6250
"1989",18.49,670,36,3000,14125
"2004",19.05,660,36,7116.25,3000
"2006",17.93,670,60,6500,12000
"2010",15.31,665,36,1940,6200
"2015",14.09,670,36,10416.67,10000
"2016",13.11,665,36,4833.33,12000
"2028",13.11,665,36,4583.33,8000
"2034",17.56,660,60,4416.67,6000
"2039",19.69,665,60,2916.67,13750
"2046",17.58,665,36,1800,5000
"2049",12.12,670,36,6083.33,10000
"2050",14.65,670,36,14333.33,6000
"2056",20.49,665,36,5166.67,24575
"2058",14.33,670,36,7916.67,10000
"2064",18.64,670,60,4250,6200
"2072",17.99,665,36,6916.67,18000
"2076",21.98,665,60,2866.5,12000
"2079",13.99,665,36,10000,6000
"2082",18.49,665,36,11250,10000
"2084",16.29,670,36,5166.67,9600
"2085",14.09,665,36,3895,3625
"2091",14.33,670,36,4666.67,10000
"2094",17.27,660,36,8666.67,22000
"2095",21.27,670,36,12500,25000
"2096",19.72,665,36,5083.33,13200
"2098",15.05,660,36,7416.67,12250
"2103",21.98,670,60,6416.67,20000
"2114",17.27,665,36,1750,8000
"2115",23.83,660,60,7666.67,33600
"2117",17.49,670,60,2400,5000
"2120",16.82,665,36,6250,16000
"2131",18.25,660,36,4820,3000
"2136",20.3,665,60,4916.67,20000
"2147",22.47,660,60,9583.33,35000
"2151",19.99,660,36,4458.33,12000
"2153",18.49,660,36,2666.67,9750
"2156",13.43,670,36,1750,4000
"2161",19.69,665,60,5340.25,9800
"2163",18.29,640,36,3000,5100
"2167",18.49,660,36,2916.67,3000
"2193",13.3,660,36,3000,12000
"2195",22.11,660,60,7000,17800
"2199",13.11,670,36,2916.67,2000
"2200",17.77,670,36,4583.33,9000
"2205",14.33,670,36,3333.33,8400
"2210",18.25,660,60,5600,12000
"2219",15.27,670,36,2516.67,12000
"2225",23.76,660,60,6266.67,20000
"2230",17.77,665,36,3333.33,12000
"2235",17.14,660,60,2500,6000
"2236",23.28,660,60,6000,19400
"2240",17.77,660,36,1500,5175
"2247",14.33,665,36,1666.67,4000
"2252",14.22,665,36,9166.67,3000
"2254",15.8,670,36,5000,10000
"2256",21.49,670,60,5000,16000
"2270",20.49,670,60,5166.67,7200
"2273",16.29,670,36,4250,8000
"2284",13.99,670,36,6458.33,10000
"2292",19.72,665,36,2916.67,10000
"2294",17.77,660,36,2633.33,10625
"2295",14.11,670,36,3750,12000
"2296",17.27,660,36,3500,10000
"2297",20.49,660,36,3980.33,12000
"2300",15.81,670,36,5541.67,10000
"2303",15.05,665,36,2000,1600
"2304",16.29,665,36,3666.67,3600
"2310",12.42,670,36,4500,4800
"2321",13.11,670,36,3459,1600
"2322",13.99,670,36,7500,8000
"2323",12.92,670,36,3750,2500
"2327",20.49,660,36,2000,7750
"2335",18.49,665,36,1084,2875
"2336",16.02,660,36,4246.67,1800
"2346",14.61,665,36,5116.67,5500
"2355",19.41,660,36,18333.33,14725
"2365",18.25,665,36,5078.75,15000
"2368",14.33,670,36,6250,8000
"2372",22.45,660,60,3666.67,20000
"2379",15.27,670,36,4500,9000
"2384",19.72,665,36,7000,3600
"2395",19.03,660,60,6550,12250
"2403",13.93,660,36,6000,5000
"2415",24.89,660,36,10737.5,24000
"2416",15.96,660,36,8166.67,5000
"2418",18.55,660,36,5653.67,16000
"2420",18.49,670,36,5000,8000
"2423",22.78,665,60,5666.67,20000
"2425",17.77,670,36,3500,15000
"2426",14.09,665,36,7333.33,9700
"2427",18.49,660,36,2083.33,8450
"2430",17.77,670,36,6000,15000
"2431",19.05,660,36,3833.33,14575
"2440",17.27,665,36,3750,4000
"2444",14.59,660,36,4073,3000
"2450",22.95,665,60,10416.67,20950
"2452",16,665,36,2000,2000
"2467",22.47,670,60,4333.33,22750
"2471",22.95,665,60,6750,20000
"2474",15.13,650,36,3833,7000
"2475",18.75,660,36,8333.33,7200
"2487",17.27,665,36,2464.37,7000
"2488",19.99,660,36,8000,15000
"2490",18.75,670,36,5166.67,19075
"2500",13.79,670,36,3875,9000
"9",14.33,685,36,3150,14675
"27",14.42,675,36,2964.17,8000
"28",15.31,675,36,2916.67,8000
"31",21,685,60,5833.33,23850
"32",12.12,685,36,10583.33,14000
"34",15.8,685,60,5250,16000
"35",13.55,675,36,3666.67,17350
"45",17.27,675,36,5166.67,9000
"55",17.8,680,60,3000,7325
"63",14.33,680,36,4166.67,13500
"67",13.11,685,36,3650,7000
"68",16.29,685,36,9166.67,20000
"83",17.77,680,36,6399,23675
"88",14.09,675,36,4583.33,10000
"90",13.11,685,36,3333.33,6000
"94",14.35,675,36,2500,6000
"95",14.96,675,36,5250,10000
"118",14.09,675,36,5000,10000
"125",15.21,680,36,5132,15000
"127",14.65,675,36,9583.33,10800
"130",15.7,675,36,9333.33,16000
"133",14.07,675,36,10000,24625
"134",14.09,680,36,5416.67,5000
"158",13.49,685,36,5000,8000
"165",16.29,680,36,2916.67,7750
"172",13.11,685,36,2500,10000
"174",12.12,685,36,5000,10000
"175",21.28,680,60,7916.67,35000
"187",16.89,675,60,7500,12000
"193",19.05,675,36,6000,15000
"202",14.83,685,60,4186,12000
"214",14.09,675,36,25000,8000
"218",13.11,680,36,6083.33,16000
"221",15.31,685,36,6666.67,16450
"238",13.67,680,36,2083.33,12375
"239",10.16,685,36,6666.67,18000
"244",16.29,680,36,5833.33,20000
"253",11.03,685,36,3750,7500
"256",14.35,675,36,4000,8000
"266",20.5,680,60,8083.33,21000
"276",17.77,685,36,6625,23000
"287",18.75,675,60,5002.33,8000
"288",11.71,685,36,3100,6000
"289",17.27,675,36,6750,35000
"291",15.31,680,36,3750,10000
"306",14.33,685,36,4800,9950
"309",13.11,685,36,5833.33,6000
"314",11.14,685,36,7750,3000
"319",11.71,680,36,4166.67,6400
"326",14.09,685,36,6000,10000
"327",10.46,680,36,4350,3000
"338",19.05,685,60,4583.33,17475
"345",22.78,675,60,6125,28000
"347",17.04,685,36,4000,7500
"348",12.61,675,36,12833.33,9200
"349",15.8,675,36,4583.33,8000
"354",12.12,675,36,6800,5000
"359",17.77,675,36,3333.33,15500
"363",18.17,685,60,10000,20000
"380",16.77,685,60,2500,14750
"390",14.09,685,36,5416.67,5375
"393",15.31,680,36,6416.67,12000
"395",19.72,680,60,3200,3600
"402",12.29,685,36,8750,7500
"406",16.29,680,36,3833.33,7000
"408",13.11,685,36,1000,6000
"411",13.11,680,36,9666.67,12000
"412",10.37,675,36,4416.67,7200
"422",14.65,675,36,3666.67,16000
"426",14.33,685,36,3500,8000
"428",13.11,685,36,5416.67,4000
"441",15.31,675,36,5000,9000
"445",14.65,680,36,8333.33,10000
"451",14.09,685,36,3750,15475
"455",15.31,685,36,3166.67,9600
"457",14.11,675,36,4166.67,7000
"468",13.11,685,36,3416.67,12000
"470",14.33,680,36,3500,14500
"471",16.63,680,36,8000,25000
"481",11.99,680,36,3417,10000
"482",11.71,685,36,3820.27,11000
"484",10.16,675,36,7666.67,15000
"492",17.43,675,60,4583.33,16000
"494",19.72,675,60,5166.67,24625
"500",15.27,680,36,4166.67,14475
"503",17.77,680,36,4166.67,10000
"505",16.32,685,60,2290,10000
"506",14.09,675,36,5000,13000
"508",12.12,680,36,2555.16,2100
"509",12.12,685,36,7666.67,12000
"529",15.8,675,36,3333.33,7200
"530",12.12,680,36,8000,6000
"536",16.29,675,60,4166.67,22000
"537",15.21,680,60,6833.33,5000
"538",8.9,680,36,12083.33,20000
"543",13.99,685,36,2629,10000
"546",18.62,685,60,5000,24250
"547",12.69,675,36,14166.67,8700
"553",14.18,685,36,4583.33,14400
"554",11.14,685,36,3333.33,5000
"560",17.14,680,36,1658,10000
"564",13.11,685,36,5416.67,6000
"573",12.99,685,36,5000,18500
"578",16.77,675,36,7916.67,15000
"579",19.72,680,60,4000,18625
"585",15.81,680,36,5000,20000
"586",13.49,685,36,4250,9600
"598",13.11,680,36,7500,10000
"606",20.53,675,60,8000,25000
"607",16.07,685,36,3937.08,5500
"608",12.53,685,36,2916.67,6000
"616",10.65,685,36,2333.33,4000
"618",17.99,675,36,5319.17,15000
"620",18.75,680,60,1560,4800
"623",13.98,675,36,6250,6000
"643",10.37,675,36,3166.67,2400
"644",11.71,675,36,3333.33,4500
"651",14.09,680,36,4250,6000
"654",13.11,675,36,5416.67,10000
"663",19.03,680,60,4497,24500
"667",10.74,685,36,4583.33,6950
"672",19.22,680,60,3700,4000
"674",14.65,685,36,4000,23500
"677",16.29,675,60,7800,24000
"687",18.49,675,36,10000,19500
"689",14.33,685,60,12916.67,18000
"706",14.09,675,36,6833.33,25000
"711",13.67,675,36,7083.33,9175
"712",15.31,680,36,4000,14075
"718",14.33,680,36,4583.33,19400
"721",13.11,675,36,4166.67,8000
"724",12.69,680,36,1666.67,5500
"731",21,685,60,6500,24000
"733",14.33,675,36,1541.67,5500
"735",13.11,680,36,7500,10000
"741",14.09,685,36,6666.67,6100
"742",15.31,680,36,5000,14000
"744",21.49,675,60,4170,19600
"749",17.9,675,36,4166.67,6000
"754",15.31,680,36,8333.33,30000
"755",14.11,675,36,1558.42,4200
"756",21.98,680,36,4333.33,3800
"758",14.09,680,36,4000,6000
"759",19.05,685,60,8416.67,21000
"760",13.49,680,36,5416.67,2500
"766",14.65,680,36,8750,14000
"804",16.29,680,36,4166.67,19600
"810",17.27,680,60,7833.33,27575
"813",16.77,685,60,3500,12000
"819",15.31,685,36,5416.67,25000
"823",15.31,680,36,6666.67,35000
"824",15.37,675,36,5000,7500
"838",23.28,675,60,5833.33,21850
"840",15.68,680,36,2500,15000
"851",11.03,680,36,3166.67,5000
"852",13.11,675,36,3333.33,17625
"853",13.11,685,36,3666.67,7150
"855",14.33,675,36,4500,15000
"859",15.2,675,60,6750,11200
"860",15.31,680,36,5833.33,13225
"871",19.05,675,36,3750,10000
"888",13.11,680,36,13166.67,12000
"903",14.09,685,36,4166.67,7100
"905",13.99,675,36,1200,1700
"907",17.99,675,36,3083.33,18225
"911",12.12,675,36,5000,6000
"912",15.8,675,36,1666.67,6000
"915",12.73,675,36,5000,3250
"916",19.72,685,60,10416.67,30000
"923",18.64,675,60,4000,4000
"928",11.14,685,36,7000,8000
