"Interest.Rate","FICO.Score","Loan.Length","Monthly.Income","Loan.Amount"
"934",12.12,680,36,3500,6500
"939",12.12,685,36,3333.33,9250
"940",13.49,675,36,1200,1875
"941",12.61,675,36,1930.75,2500
"946",14.22,680,36,2541.67,10000
"979",14.33,675,36,7266.67,10050
"981",22.95,685,60,7500,30000
"984",15.05,675,36,5166.67,9000
"995",18.25,685,60,2916.67,8800
"997",15.96,680,36,5166.67,19750
"1003",12.42,685,36,7083.33,7000
"1005",14.33,675,36,3333.33,5600
"1010",12.12,685,36,7083.33,12000
"1011",14.09,680,36,2250,10000
"1014",11.97,685,36,2500,5000
"1020",16.49,680,36,6294.25,15000
"1022",15.8,675,36,3166.67,7000
"1027",23.28,675,60,8333.33,35000
"1029",24.7,675,60,9166.67,21000
"1032",14.74,675,36,5250,11050
"1035",14.33,685,36,8000,12000
"1050",19.22,675,60,4666.67,18000
"1051",11.97,680,36,15000,15600
"1053",12.12,680,36,3208.33,7200
"1055",12.12,685,36,5416.67,13600
"1057",17.77,680,36,2500,10000
"1064",14.17,680,36,3458,2800
"1073",11.59,680,36,7083.33,4800
"1074",12.12,680,36,6333.33,3000
"1076",17.56,680,36,5833.33,12000
"1079",13.11,680,36,3466.67,9000
"1085",13.16,680,36,3583.33,10000
"1086",15.8,675,36,10000,12000
"1094",14.27,675,36,4083.33,10000
"1096",12.12,675,36,5166.67,7000
"1098",22.95,680,60,5083.33,30075
"1102",18.49,675,36,4500,21200
"1106",21.49,685,36,3583.33,1500
"1108",18.75,675,36,8333.33,20000
"1113",11.36,685,36,2750,4200
"1115",15.96,680,36,8833.33,15000
"1128",17.27,675,36,4333.33,16550
"1130",14.09,675,36,3500,8000
"1140",15.99,675,36,4583,15000
"1147",19.22,680,60,6000,21000
"1149",12.12,685,36,3833.33,10000
"1150",17.99,685,60,4300,10000
"1154",19.72,675,60,5416.67,20000
"1187",13.67,675,36,3000,7900
"1197",18.64,675,60,5651.33,13600
"1201",18.39,675,36,8125,5000
"1218",14.46,680,60,5500,9600
"1219",13.85,675,36,4600,8100
"1221",16.32,685,60,14000,15000
"1225",13.11,685,36,4583.33,14550
"1231",14.33,675,36,2916.67,5000
"1246",15.31,675,60,6666.67,19800
"1249",15.31,685,36,5000,3500
"1253",12.12,685,36,2583.33,3900
"1254",19.22,680,60,3416.67,16000
"1255",15.99,675,36,8583.33,15000
"1258",13.99,675,36,4166.25,7400
"1261",14.09,680,36,4789.33,3000
"1262",14.27,675,36,5833.33,9000
"1286",15.31,675,36,1750,5000
"1288",15.8,680,36,2860,11625
"1290",12.69,685,36,7916.67,8000
"1297",19.03,685,36,1600,4000
"1300",16.29,685,36,6916.67,8000
"1306",18.75,680,36,5666.67,16750
"1311",17.77,685,36,7166.67,10000
"1332",15.99,675,36,4583.33,4800
"1346",12.12,685,36,3333.33,6000
"1361",14.09,675,36,3250,13000
"1364",14.09,685,36,4166.67,6900
"1365",20.49,685,60,10416.67,35000
"1377",16.45,680,60,5500,16000
"1381",11.11,680,36,2253,6500
"1387",15.31,680,36,5500,12000
"1389",18.49,675,36,5636.75,7125
"1390",21.67,675,60,20833.33,35000
"1401",19.05,685,36,9166.67,30000
"1405",14.91,675,36,5222,16300
"1432",15.31,675,36,6000,9600
"1436",11.71,685,36,4333.33,10000
"1452",22.47,685,60,7000,27925
"1456",16.29,680,36,5416.67,16000
"1457",15.31,680,36,3333.33,13200
"1461",15.31,675,36,5583.33,10000
"1463",19.72,680,60,4500,19000
"1465",13.11,685,36,4229.17,9000
"1466",13.11,685,36,6666.67,6775
"1467",15.23,675,36,2500,2200
"1469",14.33,675,60,6666.67,16800
"1478",18.49,675,36,4166.67,19125
"1481",18.25,680,60,3084,6650
"1484",12.84,680,36,3521,8000
"1485",15.65,680,36,5833.33,4575
"1494",13.49,680,36,6250,12000
"1499",15.8,675,36,4541.67,8575
"1502",13.67,675,36,4666.67,11000
"1503",14.35,680,36,2508.33,7800
"1516",19.22,680,60,6916.67,20800
"1517",14.27,680,36,4166.67,8400
"1518",18.49,675,36,13583.33,20000
"1520",12.12,685,36,4750,9600
"1522",15.31,680,36,7333.33,14000
"1535",13.48,680,36,6307.42,10000
"1538",15.8,685,36,2176.67,6000
"1539",13.49,680,36,5624,7050
"1546",15.31,675,36,5416.67,10000
"1556",13.11,685,36,4625,10000
"1560",13.11,680,36,8744.26,10000
"1568",9.99,685,36,4980,6000
"1572",13.06,680,36,6500,4200
"1573",14.09,685,36,2083.33,12500
"1577",13.11,685,36,5833.33,7000
"1590",14.65,685,36,5416.67,9500
"1595",10.28,685,36,15000,3500
"1597",15.33,675,36,6416.67,8000
"1609",14.65,685,36,2083.33,2000
"1612",15.27,680,36,15416.67,15000
"1618",15.95,685,36,7983.33,25000
"1626",11.99,680,36,6250,2500
"1645",12.12,680,36,5083.33,1550
"1665",16.4,675,36,6666.67,16800
"1666",11.66,685,36,4133.33,10000
"1667",16.49,685,60,4000,12000
"1673",14.65,675,36,8083.33,10000
"1675",16.32,680,60,5000,12000
"1678",19.42,685,60,10813.17,28000
"1682",21.98,675,60,5000,20000
"1688",15.31,680,36,3083.33,8000
"1690",11.71,680,36,6041.67,4200
"1691",14.27,680,36,2750,1400
"1693",15.31,675,36,3333.33,12000
"1700",11.49,685,36,5555.08,1500
"1708",17.14,680,60,3000,5000
"1710",13.11,680,36,3666.67,13600
"1712",19.05,685,36,5416.67,18000
"1714",12.12,680,36,4800,4800
"1715",13.11,680,36,3166.67,10000
"1719",15.31,685,36,12208.33,7000
"1721",14.65,685,36,8333.33,12000
"1722",10.59,685,36,2083.33,10000
"1732",12.12,685,36,5583.33,10550
"1737",14.33,685,36,2500,10050
"1741",14.09,675,36,3333.33,10000
"1746",15.31,675,36,4750,2200
"1748",13.11,680,36,5500,14000
"1760",15.8,675,36,4583.33,10000
"1766",20.5,675,36,9250,19500
"1775",21.49,680,60,6250,25000
"1780",13.57,680,36,10833.33,4550
"1785",14.46,685,36,5166.67,18000
"1787",14.09,675,36,3750,10000
"1791",14.09,680,36,3750,10000
"1792",13.11,685,36,4325,7000
"1793",16.82,685,60,4721,4000
"1821",16.89,675,36,2750,2000
"1822",16.77,685,60,4166.67,12800
"1823",19.91,680,36,6000,10000
"1836",17.27,680,60,4583.33,21000
"1839",15.8,680,60,5416.67,16000
"1844",21.97,685,60,7833.33,35000
"1846",13.11,680,36,3750,2000
"1850",12.12,685,36,1833.33,5000
"1851",14.65,680,36,10000,12800
"1856",14.09,685,36,3333.33,13450
"1860",14.33,675,36,4333.33,2000
"1861",13.92,680,36,2773.33,11200
"1863",21.98,680,60,10166.67,28000
"1865",12.12,680,36,4166.67,7200
"1868",18.49,675,36,8937.5,20125
"1870",18.79,680,60,4400,21850
"1885",14.09,680,36,4248.33,6250
"1900",14.96,685,36,3416.67,10000
"1904",13.67,675,36,2000,12000
"1914",13.49,680,36,7500,6000
"1922",13.11,685,36,2000,4000
"1929",18.49,675,36,4166.67,7000
"1932",12.42,680,36,2916.67,12000
"1933",19.03,680,60,5000.67,25475
"1937",14.33,675,36,3333.33,4000
"1940",11.03,685,36,5666.67,9000
"1942",17.27,675,60,6250,24000
"1957",14.26,685,36,5833.33,14400
"1966",12.42,675,36,2518.75,2000
"1978",18.49,685,36,6666.67,20000
"1979",22.47,675,60,10104.17,24000
"1987",13.11,680,36,5000,7800
"1988",15.27,680,36,6666.67,15000
"1998",13.11,680,36,2600,1950
"2000",14.09,675,36,4166.67,8000
"2003",15.8,680,36,2708.33,6800
"2007",15.31,680,36,2666.67,11100
"2012",10.36,680,36,5833.33,2250
"2021",14.27,675,36,5184.75,6000
"2022",12.12,675,36,1250,4500
"2024",15.8,675,36,2666.67,11200
"2033",13.11,680,36,5000,14400
"2037",13.06,685,36,3750,15000
"2040",17.19,675,60,13625,6000
"2047",14.33,675,36,2916.67,4950
"2057",14.83,675,60,4833.33,8000
"2068",16.89,680,60,2400,6000
"2070",13.79,680,36,6074.17,16400
"2073",13.49,675,36,4416.67,12375
"2075",14.09,680,36,3513.33,2000
"2083",15.31,675,36,3176,1000
"2086",13.11,685,36,3500,10000
"2089",13.99,680,36,4166.67,10000
"2090",13.23,685,36,9367,6000
"2092",12.12,675,36,1312.08,6000
"2093",15.31,675,60,11250,16000
"2100",14.33,685,36,7083.33,9000
"2105",13.49,680,36,6000,10000
"2106",13.11,685,36,4416.67,10750
"2107",14.83,680,36,5600,4000
"2122",13.99,680,36,4500,8600
"2127",14.09,675,36,2783.33,11350
"2128",17.27,685,60,8750,6000
"2129",12.12,680,36,2250,4000
"2134",8.9,685,36,6666.67,6000
"2139",20.49,675,60,3750,18000
"2149",21.49,675,60,4500,20950
"2162",12.12,685,36,6750,20000
"2172",13.11,675,36,4333.33,13025
"2173",18.49,675,36,9333.33,18000
"2176",11.14,685,36,2916.67,4500
"2180",17.27,675,36,4666.67,4500
"2189",20.49,685,36,5250,10000
"2191",15.8,675,36,4458.33,10000
"2194",14.65,675,36,5833.33,9600
"2197",21,680,60,4583.33,18825
"2202",19.22,675,60,3629.58,21725
"2207",15.31,675,36,2833.33,9950
"2213",14.33,680,36,7500,15000
"2214",17.77,685,36,3333.33,12700
"2228",13.67,680,36,1666.67,5400
"2232",11.71,675,36,1650,3750
"2233",13.67,685,36,2791.67,8000
"2239",13.99,680,36,5833.33,4800
"2249",14.09,675,36,6166.67,12000
"2250",21,685,60,4166.67,17500
"2259",12.12,680,36,5416.67,4825
"2260",18.25,675,60,4833.33,18750
"2261",15.31,675,36,4166.67,5000
"2262",13.17,675,36,8750,7500
"2263",16.82,680,60,4417,10000
"2272",11.71,685,36,6932.92,13000
"2280",13.99,680,36,5000,5200
"2281",15.81,675,36,3750,9000
"2287",20.49,685,60,5833.33,24000
"2290",17.99,675,60,3916.67,12000
"2291",15.31,675,36,4416.67,12000
"2293",15.31,680,36,2291.67,8875
"2305",17.51,680,36,7916.67,14000
"2317",14.33,675,36,1750,6250
"2338",12.12,680,36,3333.33,6000
"2340",14.33,680,36,2479.17,10375
"2343",15.31,680,36,3750,10000
"2345",17.77,675,36,4333.33,7000
"2360",12.12,680,36,4500,17475
"2373",14.27,680,36,7166.67,10000
"2383",16.83,680,36,5000,8500
"2392",12.12,675,36,4333.33,3500
"2394",17.77,675,36,4575.08,12000
"2398",19.03,680,60,5416.67,24000
"2407",12.12,675,36,6250,5000
"2409",22.47,675,36,6200,10000
"2419",14.11,680,36,4583,10000
"2432",21,675,60,4473.33,14775
"2436",20.52,675,36,2500,8000
"2439",13.11,685,36,3083.33,12300
"2443",14.33,675,36,3333.33,4375
"2449",19.04,680,60,5250,15000
"2455",18.64,680,60,6250,20000
"2459",13.85,685,36,6750,16000
"2465",13.67,685,36,3544.67,19000
"2473",22.45,685,60,5500,17300
"2476",14.09,675,36,4583.33,10000
"2477",14.09,675,36,8583.33,4000
"2480",15.8,680,60,4833.33,16200
"2484",14.33,675,36,3416.67,15875
"2489",15.81,685,36,3833.33,17000
"2494",23.28,675,60,7083.33,30000
"2495",14.65,685,36,6666.67,24000
"2498",13.99,680,36,2166.67,10000
"2499",12.42,675,36,3500,6000
"3",21.98,690,60,11500,35000
"4",9.99,695,36,3833.33,10000
"5",11.71,695,36,3195,12000
"8",17.14,705,60,13863.42,33500
"17",12.12,695,36,9000,10000
"22",19.05,695,60,6250,30000
"24",11.99,695,36,6833.33,17400
"26",7.9,705,36,5416.67,7200
"50",12.12,705,36,4500,14000
"53",17.27,700,60,9250,32000
"59",14.33,690,36,5166.67,27575
"61",11.49,705,36,2708.33,12000
"69",18.25,705,60,2916.67,15000
"70",14.09,695,36,5000,8000
"71",19.03,695,60,7500,24000
"78",10.83,700,36,2427,1600
"84",12.12,690,36,5833.33,12000
"85",16.49,695,36,6000,25000
"101",13.11,700,36,4666.67,6400
"102",7.9,705,36,4000,5000
"104",21.48,690,60,4250,23850
"109",14.09,690,36,2916.67,10000
"115",15.8,690,36,12916.67,20950
"121",19.05,700,60,6250,25000
"123",11.14,690,36,3750,7200
"126",19.72,695,60,4916.67,25000
"128",14.33,700,36,6250,20000
"129",10.74,695,36,2900,4000
"140",15.99,700,60,4250,5500
"144",13.11,700,36,3150.25,8800
"145",11.14,705,36,6000,7000
"150",14.33,705,36,2833.33,11625
"154",16.69,705,60,7666.67,25000
"156",10.91,690,36,3892.75,12375
"157",11.48,705,36,5031.67,6000
"164",10.16,695,36,2083.33,2800
"166",8.9,700,36,2166.67,4500
"171",11.14,700,36,2750,11500
"181",14.33,700,36,7500,17000
"182",7.9,695,36,8416.67,16000
"183",12.69,695,36,6666.67,10000
"184",10.16,700,36,6250,5000
"192",15.8,700,60,5416.67,22000
"205",13.98,700,36,9166.67,17000
"209",12.12,690,36,6583.33,12300
"210",13.11,690,36,2666.67,4800
"212",8.9,700,36,2254,4200
"213",14.09,690,36,6583.33,22250
"217",10.16,705,36,6000,9000
"230",12.12,690,36,3750,5825
"241",18.49,700,60,8833.33,21000
"242",16.29,695,36,5250,24575
"254",10.16,705,36,2400,4825
"258",15.57,700,60,5291.67,8000
"269",17.77,695,36,7666.67,29000
"270",15.31,690,36,5250,20000
"271",10.16,695,36,4341.67,7000
"283",16.49,705,60,5416.67,10000
"284",13.06,690,36,7916.67,11000
"286",17.49,705,60,5000,24000
"296",19.99,690,60,8333.33,24000
"297",14.09,690,36,3500,8000
"308",19.05,695,60,3726.67,10000
"311",7.9,705,36,1916.67,5600
"316",14.27,705,36,9000,25000
"328",19.72,700,60,5666.67,25000
"339",12.12,690,36,3113.83,10000
"346",11.11,690,36,2080,1675
"350",10.99,690,36,2000,5000
"351",18.25,690,60,3333.33,19125
"360",13.11,695,60,7916.67,16000
"364",22.78,690,60,6041.67,30000
"371",14.09,690,36,3333.33,10350
"377",13.11,700,36,3010,5900
"378",13.11,705,36,2500,9950
"381",16.7,690,36,3000,5000
"383",19.42,705,60,7400,18400
"384",14.11,700,36,3583,7200
"386",12.12,690,36,3166.67,8000
"388",13.11,690,36,3750,6000
"392",10.65,700,36,3333.33,7000
"397",14.33,690,36,2500,10050
"398",8.9,700,36,5000,4025
"410",12.12,705,36,2519.17,9500
"414",15.96,695,60,2917,8250
"415",22.47,690,60,7916.67,30000
"416",15.81,700,60,6583.33,10075
"417",13.11,700,36,5166.67,9050
"418",10.16,700,36,3333.33,17500
"421",15.8,690,36,2500,8500
"430",9.91,705,36,12500,12000
"431",16.49,690,60,2916.67,15250
"432",12.68,695,36,3500,5000
"438",13.85,705,36,3000,15000
"442",18.75,695,60,9583.33,21000
"448",12.42,705,36,3500,10000
"450",7.9,705,36,7233.33,24000
"456",15.21,700,60,5416.67,15000
"461",18.49,700,60,16416.67,21000
"467",13.11,700,36,3541.67,8000
"476",13.67,690,36,5113,3600
"477",15.31,695,36,5924.5,16000
"480",17.49,695,60,3333.33,15000
"483",19.05,690,60,5833.33,25000
"489",12.12,690,36,3333.33,10400
"490",14.84,705,36,7250,25000
"491",11.97,705,36,7501,20000
"495",13.11,690,36,4166.67,21850
"498",12.21,700,36,7667,10000
"502",12.12,700,36,5416.67,15000
"504",13.49,690,36,2870.33,5600
"513",10.16,690,36,7916.67,14000
"523",12.29,700,36,3100,14700
"541",16.29,705,60,7166.67,18225
"552",7.66,700,36,6500,4600
"566",14.09,695,36,8666.67,12000
"569",10.16,705,36,3750,3200
"571",22.11,690,60,1471,3000
"574",14.09,690,36,4000,18000
"575",10.59,695,36,3000,4200
"581",15.31,690,36,3916.67,12500
"583",12.12,690,36,3083.33,10000
"587",9.76,695,36,2108.33,3600
"588",18.75,690,36,3033.33,14075
"596",10.16,700,36,5000,15000
"597",14.33,700,36,5500,15000
"599",12.12,690,36,5000,5950
"600",10.99,700,36,5833.33,10000
"604",13.11,700,36,2166.67,8875
"605",10.74,705,36,2000,2400
"609",19.05,690,60,7500,18000
"612",13.11,690,36,2625,6000
"614",11.14,700,36,2916.67,11500
"619",12.42,705,36,16666.67,25000
"622",12.53,705,36,8750,15000
"626",11.12,705,36,6833.33,2000
"628",12.12,700,36,5000,10000
"630",16.29,690,60,5416.67,5000
"634",10.74,700,36,6833.33,14400
"635",15.31,695,36,2833.33,11625
"638",17.27,695,60,3333.33,9600
"650",10,700,36,3250,2800
"655",12.12,690,36,4666.67,9450
"664",12.12,695,36,6250,10000
"668",10.16,705,36,4583.33,8525
"669",14.33,690,36,2750,5000
"670",18.25,695,60,3750,4800
"682",13.48,690,36,8333.33,18000
"684",10.99,695,36,6666.67,11000
"688",17.27,695,60,7000,16000
"692",15.58,700,60,5427.42,16000
"693",17.58,690,36,13333.33,35000
"695",13.11,700,36,5988.67,14500
"699",9.91,705,36,3666.67,10000
"700",19.05,690,60,9166.67,35000
"703",7.9,705,36,1750,6000
"708",18.25,690,36,8583.33,27000
"723",15.58,695,36,5000,7500
"729",12.12,695,36,3355.05,7350
"732",18.49,695,60,4104.67,10000
"734",14.72,695,36,9519.75,17500
"748",12.53,700,36,3500,11000
"750",11.14,705,36,10833.33,12000
"751",13.11,690,36,5083.33,17000
"761",16.77,690,36,2700,2400
"769",12.53,705,36,3108.33,5000
"770",13.11,690,36,9000,15000
"772",8.9,700,36,1000,3000
"773",7.9,705,36,4116.67,6000
"787",17.27,705,60,3750,17325
"790",11.71,700,36,3730,3300
"794",13.47,700,36,4458.33,15000
"796",13.99,700,60,8833.33,13500
"803",19.69,705,60,3666.67,17200
"817",13.67,690,36,3333.33,15000
"818",11.86,705,36,5000,15000
"826",11.12,700,36,5416.67,3800
"827",8.9,700,36,3250,2800
"832",11.14,700,36,2666.67,8000
"835",11.49,690,36,4900,3000
"839",13.47,690,36,6666.67,10000
"845",16.89,700,60,4000,20000
"846",13.67,695,36,2500,14825
"858",12.68,690,36,2500,10000
"861",11.14,700,36,3333.33,4000
"864",14.59,705,36,8750,25000
"866",12.12,700,36,4850,18225
"873",16.89,695,60,3083,6000
"876",8.9,705,36,6666.67,5000
"881",15.28,700,60,3006.44,16000
"884",12.12,705,36,6250,14000
"889",13.11,695,36,6166.67,10400
"890",18.75,695,60,10250,21000
"891",11.83,705,36,6333.33,6000
"893",14.33,690,36,1000,2100
"900",14.59,690,36,5416.67,16000
"917",11.11,700,36,18750,21000
"925",12.12,705,36,5000,15000
"930",15.31,695,60,8500,30000
"932",9.99,695,36,5316.67,5000
"942",13.47,690,36,4583,10000
"945",13.61,695,60,2700,6000
"948",16.32,700,60,4333.33,19000
"949",11.89,695,36,3583.33,5500
"950",10.74,700,36,5833.33,10000
"952",15.95,705,60,6000,9500
"956",12.12,700,36,4500,24000
"957",10.36,690,36,5000,7000
"961",11.71,705,60,3500,4000
"965",13.11,695,36,6250,10000
"968",12.12,700,36,2750,9450
"971",10.99,700,36,4583.33,11750
"974",14.09,695,36,7916.67,13000
"976",14.33,700,36,9166.67,15000
"978",15.23,705,60,7083.33,12000
"987",12.12,690,36,3833.33,12000
"994",16.29,695,36,3333.33,16000
"999",16.32,695,36,10000,10000
"1002",21.49,705,60,12500,30000
"1013",11.14,690,36,8750,15000
"1015",13.11,695,36,14166.67,20000
"1016",16.29,695,36,9166.67,21725
"1021",19.72,690,60,13333.33,35000
"1023",15.96,695,60,5300,12500
"1024",12.12,705,36,6666.67,18000
"1025",11.89,695,36,4166.67,6000
"1030",12.12,705,36,4166.67,8000
"1031",20.3,695,60,20000,33600
"1033",15.31,695,36,7666.67,16000
"1038",10.36,690,36,10333.33,12000
"1041",15.31,690,36,6000,16000
"1042",21.48,695,60,6666.67,12200
"1054",12.99,690,36,5000,1500
"1059",11.71,695,36,3746.58,10000
"1060",13.16,700,36,3041.67,7000
"1065",13.11,700,36,4166.67,15000
"1067",11.71,705,36,5416.67,15000
"1069",12.12,690,36,5416.67,12000
"1084",20.5,705,60,7083.33,30000
"1092",11.12,705,36,5750,6000
"1095",14.65,695,60,3333,4800
"1101",17.27,695,60,4666.67,16000
"1109",13.49,695,36,4166.67,10000
"1117",9.25,700,36,7000,4200
"1120",17.49,695,36,2083.33,8000
"1145",9.76,705,36,5333.33,8500
"1155",13.99,695,36,11500,24375
"1157",10.74,700,36,4000,9550
"1158",20.5,690,60,5077.58,25000
"1159",12.87,690,36,6333,3600
"1160",11.11,700,36,6083.33,10000
"1168",9.76,705,36,4166.67,4000
"1181",14.09,695,36,9166.67,14000
"1183",14.33,690,36,3108,8000
"1185",13.11,705,36,10416.67,24375
"1188",12.12,695,36,3640,10000
"1192",13.11,695,36,7916.67,21000
"1194",11.71,705,36,3791.67,13200
"1199",14.65,705,60,3912,22000
"1204",14.09,700,36,3750,10000
"1206",14.27,695,36,5208.33,5000
"1211",12.12,695,36,3916.67,7000
"1212",12.12,695,36,3625,1500
"1213",18.49,705,36,11000,35000
"1214",18.25,695,60,6666.67,20000
"1217",15.01,695,36,15416.67,25000
"1220",14.65,690,36,3666.67,15000
"1222",11.14,695,36,5000,11000
"1226",10.74,700,36,2500,10000
"1227",11.14,705,60,8000,24000
"1239",15.95,700,60,6666.67,20000
"1244",13.11,695,36,4166.67,15000
"1256",20.5,695,60,4833.33,28200
"1257",13.49,705,36,6666.67,15000
"1263",8.9,705,36,4583.33,4000
"1265",15.99,690,60,3500,6400
"1267",13.11,695,36,4583.33,12000
"1270",12.12,690,36,4333.33,6000
"1271",13.49,700,36,6666.67,2200
"1274",7.9,705,36,5583.33,3000
"1275",21.49,700,60,13999.17,30000
"1276",12.12,695,36,5833.33,10800
"1280",14.09,690,36,3333.33,16000
"1281",13.99,705,36,3500,15000
"1283",19.05,690,36,18750,35000
"1285",11.71,700,36,6250,15000
"1293",12.42,705,36,5833.33,10200
"1301",18.49,700,60,4166.67,19125
"1302",12.12,700,36,4166.67,16000
"1307",12.12,695,36,3333.33,3600
"1316",15.62,695,36,6250,28000
"1317",15.58,690,60,12083.33,15200
"1323",6,695,60,6250,6400
"1324",14.33,695,36,3833.33,13200
"1325",11.49,705,36,7300,12000
"1328",18.55,700,36,6666.67,28000
"1331",17.27,705,60,5025,27050
"1341",15.81,695,36,7083.33,23000
"1343",12.69,705,36,1200,3000
"1348",12.68,690,60,4416.67,5000
"1351",14.09,700,36,5416.67,10000
"1352",10.74,705,36,2916.67,7750
"1357",12.12,695,36,5416.67,3500
"1362",13.11,695,36,4166.67,15000
"1367",11.14,705,36,3833.33,9600
"1373",14.09,700,36,6083.33,25000
"1374",14.33,690,36,3358.33,13000
"1384",13.48,700,36,4166.67,16000
"1404",12.12,690,36,5833.33,10000
"1412",11.14,690,36,1916.67,6625
"1418",10.99,700,36,7583,8400
"1420",10.16,695,36,3500,4750
"1430",12.84,695,36,6000,7800
"1433",10.62,705,36,5000,6000
"1446",12.12,705,36,5666.67,13475
"1451",9.76,705,36,5833.33,9000
"1458",18.75,695,60,15416.67,20000
"1462",16.29,700,36,10416.67,14075
"1474",14.09,695,36,3333.33,9325
"1477",15.8,690,36,3000,3700
"1486",21.97,690,60,14166.67,35000
"1487",12.12,695,36,4375,10000
"1489",12.98,700,36,3600,16000
"1490",14.09,690,36,3000,13750
"1496",16.32,705,60,7083.33,25000
"1498",15.8,700,60,4708.33,24375
"1500",12.12,695,36,4250,13800
